Target_ID,Timestamp_ms,X_Pos,Y_Pos,Device
1,1064,4055.0,376.0,mouse
1,1162,2520.0,394.0,mouse
1,1181,1884.0,317.0,mouse
1,1197,1744.0,323.0,mouse
1,1214,1647.0,329.0,mouse
1,1230,1578.0,331.0,mouse
1,1246,1544.0,331.0,mouse
1,1263,1512.0,333.0,mouse
1,1280,1509.0,333.0,mouse
1,1296,1509.0,334.0,mouse
1,1363,1504.0,336.0,mouse
1,1379,1498.0,339.0,mouse
1,1396,1477.0,348.0,mouse
1,1415,1455.0,357.0,mouse
1,1429,1391.0,379.0,mouse
1,1447,1310.0,403.0,mouse
1,1463,1151.0,440.0,mouse
1,1480,1052.0,463.0,mouse
1,1496,977.0,480.0,mouse
1,1513,895.0,507.0,mouse
1,1529,813.0,533.0,mouse
1,1546,722.0,561.0,mouse
1,1563,635.0,585.0,mouse
1,1580,599.0,594.0,mouse
1,1596,578.0,598.0,mouse
1,1613,574.0,598.0,mouse
1,1629,573.0,598.0,mouse
1,1663,574.0,594.0,mouse
1,1680,578.0,576.0,mouse
1,1696,587.0,558.0,mouse
1,1713,604.0,526.0,mouse
1,1729,622.0,500.0,mouse
1,1746,648.0,472.0,mouse
1,1763,663.0,463.0,mouse
1,1779,690.0,452.0,mouse
1,1796,715.0,439.0,mouse
1,1812,745.0,424.0,mouse
1,1829,763.0,414.0,mouse
1,1847,774.0,405.0,mouse
1,1864,776.0,399.0,mouse
1,1879,777.0,398.0,mouse
1,1896,777.0,396.0,mouse
1,1912,777.0,395.0,mouse
1,1963,796.0,388.0,mouse
1,1979,804.0,383.0,mouse
1,1996,813.0,379.0,mouse
1,2012,819.0,377.0,mouse
1,2029,822.0,375.0,mouse
1,2095,824.0,370.0,mouse
1,2112,831.0,357.0,mouse
1,2129,838.0,350.0,mouse
1,2146,844.0,346.0,mouse
1,2163,855.0,344.0,mouse
1,2179,870.0,344.0,mouse
1,2195,874.0,345.0,mouse
1,2212,879.0,349.0,mouse
1,2229,890.0,357.0,mouse
1,2245,896.0,362.0,mouse
1,2262,910.0,372.0,mouse
1,2279,915.0,378.0,mouse
1,2295,920.0,384.0,mouse
1,2312,924.0,396.0,mouse
1,2329,928.0,422.0,mouse
1,2345,934.0,448.0,mouse
1,2362,953.0,522.0,mouse
1,2378,967.0,570.0,mouse
1,2395,975.0,608.0,mouse
1,2412,983.0,646.0,mouse
1,2428,988.0,677.0,mouse
1,2445,992.0,714.0,mouse
1,2463,995.0,741.0,mouse
1,2480,1000.0,770.0,mouse
1,2495,1003.0,781.0,mouse
1,2512,1004.0,782.0,mouse
1,2545,1005.0,782.0,mouse
1,2563,1009.0,774.0,mouse
1,2578,1015.0,745.0,mouse
1,2595,1018.0,723.0,mouse
1,2612,1021.0,705.0,mouse
1,2628,1021.0,675.0,mouse
1,2645,1021.0,649.0,mouse
1,2662,1019.0,593.0,mouse
1,2678,1014.0,538.0,mouse
1,2695,1010.0,507.0,mouse
1,2712,1010.0,488.0,mouse
1,2728,1009.0,482.0,mouse
1,2745,1009.0,476.0,mouse
1,2762,1009.0,469.0,mouse
1,2778,1009.0,465.0,mouse
1,2795,1009.0,462.0,mouse
1,2812,1008.0,458.0,mouse
1,2828,1008.0,457.0,mouse
1,2845,1008.0,456.0,mouse
1,3244,1003.0,460.0,mouse
1,3261,993.0,479.0,mouse
