Target_ID,Timestamp_ms,X_Pos,Y_Pos,Device
1,1720,495.0,296.0,mouse
1,1727,495.0,299.0,mouse
1,1730,495.0,301.0,mouse
1,1754,495.0,305.0,mouse
1,2080,495.0,299.0,mouse
1,2088,497.0,290.0,mouse
1,2097,504.0,271.0,mouse
1,2114,515.0,246.0,mouse
1,2121,521.0,237.0,mouse
1,2137,523.0,233.0,mouse
1,2147,528.0,228.0,mouse
1,2163,538.0,218.0,mouse
1,2179,540.0,216.0,mouse
1,2188,541.0,215.0,mouse
1,2196,543.0,215.0,mouse
1,2213,544.0,215.0,mouse
1,2321,545.0,215.0,mouse
1,2363,545.0,214.0,mouse
1,2371,546.0,213.0,mouse
1,2396,546.0,210.0,mouse
1,2405,547.0,209.0,mouse
1,2438,547.0,208.0,mouse
2,2796,547.0,212.0,mouse
2,2805,547.0,214.0,mouse
2,2812,544.0,221.0,mouse
2,2830,537.0,234.0,mouse
2,2846,535.0,240.0,mouse
2,2864,530.0,248.0,mouse
2,2880,526.0,258.0,mouse
2,2888,525.0,261.0,mouse
2,2905,523.0,265.0,mouse
2,2922,522.0,267.0,mouse
2,2947,521.0,269.0,mouse
2,3055,519.0,271.0,mouse
2,3063,519.0,272.0,mouse
2,3072,518.0,273.0,mouse
2,3080,517.0,275.0,mouse
2,3088,516.0,278.0,mouse
2,3096,515.0,280.0,mouse
2,3113,514.0,284.0,mouse
2,3122,513.0,286.0,mouse
2,3130,512.0,288.0,mouse
2,3138,511.0,290.0,mouse
2,3155,510.0,293.0,mouse
2,3163,509.0,294.0,mouse
2,3171,509.0,296.0,mouse
2,3180,509.0,297.0,mouse
2,3197,508.0,300.0,mouse
2,3205,507.0,302.0,mouse
2,3213,506.0,304.0,mouse
2,3222,506.0,306.0,mouse
2,3238,505.0,309.0,mouse
2,3247,504.0,311.0,mouse
2,3255,503.0,313.0,mouse
2,3263,502.0,314.0,mouse
2,3279,500.0,317.0,mouse
2,3288,500.0,319.0,mouse
