Target_ID,Timestamp_ms,X_Pos,Y_Pos,Device
1,1918,472.0,296.0,mouse
1,1933,469.0,307.0,mouse
1,1949,465.0,310.0,mouse
1,1966,457.0,317.0,mouse
1,1983,444.0,324.0,mouse
1,1999,428.0,333.0,mouse
1,2016,410.0,342.0,mouse
1,2024,400.0,346.0,mouse
1,2033,391.0,350.0,mouse
1,2041,372.0,354.0,mouse
1,2066,356.0,356.0,mouse
1,2083,349.0,356.0,mouse
1,2091,338.0,349.0,mouse
1,2099,327.0,335.0,mouse
1,2116,319.0,316.0,mouse
1,2133,315.0,305.0,mouse
1,2150,311.0,293.0,mouse
1,2158,310.0,289.0,mouse
1,2183,310.0,284.0,mouse
1,2191,310.0,282.0,mouse
1,2200,316.0,278.0,mouse
1,2216,340.0,273.0,mouse
1,2224,359.0,271.0,mouse
1,2233,381.0,270.0,mouse
1,2241,407.0,268.0,mouse
1,2249,436.0,268.0,mouse
1,2257,463.0,268.0,mouse
1,2266,476.0,268.0,mouse
1,2274,498.0,268.0,mouse
1,2283,519.0,268.0,mouse
1,2291,535.0,271.0,mouse
1,2300,541.0,272.0,mouse
1,2308,553.0,274.0,mouse
1,2316,561.0,276.0,mouse
1,2325,567.0,277.0,mouse
1,2333,572.0,279.0,mouse
1,2341,575.0,280.0,mouse
1,2349,577.0,282.0,mouse
1,2366,580.0,290.0,mouse
1,2550,590.0,289.0,mouse
1,2558,616.0,282.0,mouse
1,2583,635.0,277.0,mouse
1,2592,657.0,273.0,mouse
1,2599,683.0,267.0,mouse
1,2609,734.0,254.0,mouse
1,2617,760.0,250.0,mouse
1,2625,784.0,244.0,mouse
1,2633,794.0,243.0,mouse
1,2642,814.0,239.0,mouse
1,2650,821.0,238.0,mouse
1,2666,846.0,233.0,mouse
1,2683,862.0,231.0,mouse
1,2691,867.0,230.0,mouse
1,2707,875.0,228.0,mouse
1,2725,882.0,227.0,mouse
1,2733,884.0,227.0,mouse
1,2741,888.0,227.0,mouse
1,2767,890.0,227.0,mouse
1,2783,891.0,227.0,mouse
1,2792,892.0,227.0,mouse
1,2807,893.0,227.0,mouse
1,2825,894.0,227.0,mouse
1,2833,895.0,227.0,mouse
1,2841,902.0,227.0,mouse
1,2866,915.0,226.0,mouse
1,2875,923.0,225.0,mouse
1,2883,944.0,222.0,mouse
1,2908,957.0,221.0,mouse
1,2916,969.0,219.0,mouse
1,2925,973.0,219.0,mouse
1,2949,977.0,218.0,mouse
1,2958,978.0,218.0,mouse
1,2966,982.0,217.0,mouse
1,2975,984.0,216.0,mouse
1,2982,986.0,215.0,mouse
1,2991,989.0,214.0,mouse
1,3000,994.0,213.0,mouse
1,3017,996.0,212.0,mouse
1,3024,998.0,212.0,mouse
1,3032,999.0,212.0,mouse
2,3066,1000.0,212.0,mouse
2,3200,999.0,212.0,mouse
2,3450,996.0,212.0,mouse
2,3466,990.0,212.0,mouse
2,3474,983.0,212.0,mouse
2,3482,962.0,210.0,mouse
2,3492,952.0,207.0,mouse
2,3508,930.0,203.0,mouse
2,3516,906.0,196.0,mouse
2,3525,877.0,189.0,mouse
2,3533,859.0,184.0,mouse
2,3558,833.0,179.0,mouse
2,3567,827.0,177.0,mouse
2,3583,820.0,176.0,mouse
2,3591,817.0,176.0,mouse
2,3600,815.0,175.0,mouse
2,3608,814.0,175.0,mouse
2,3617,812.0,174.0,mouse
2,3624,811.0,174.0,mouse
2,3642,811.0,173.0,mouse
2,3650,810.0,173.0,mouse
2,3658,809.0,172.0,mouse
2,3683,808.0,172.0,mouse
2,3692,807.0,172.0,mouse
2,3700,806.0,171.0,mouse
2,3708,804.0,171.0,mouse
2,3716,800.0,171.0,mouse
2,3733,799.0,171.0,mouse
2,3750,792.0,171.0,mouse
2,3758,783.0,175.0,mouse
2,3774,777.0,178.0,mouse
2,3782,773.0,179.0,mouse
2,3791,767.0,181.0,mouse
2,3824,766.0,182.0,mouse
3,3841,765.0,183.0,mouse
3,4175,760.0,183.0,mouse
3,4183,754.0,184.0,mouse
3,4191,735.0,187.0,mouse
3,4200,682.0,190.0,mouse
3,4217,607.0,192.0,mouse
3,4233,588.0,192.0,mouse
3,4241,516.0,190.0,mouse
3,4266,476.0,186.0,mouse
3,4275,457.0,185.0,mouse
3,4282,439.0,182.0,mouse
3,4299,426.0,180.0,mouse
3,4307,423.0,179.0,mouse
3,4315,421.0,179.0,mouse
3,4325,419.0,179.0,mouse
3,4350,419.0,178.0,mouse
3,4357,419.0,177.0,mouse
3,4366,419.0,176.0,mouse
3,4390,418.0,170.0,mouse
3,4400,415.0,166.0,mouse
3,4417,410.0,161.0,mouse
3,4424,406.0,156.0,mouse
3,4432,404.0,156.0,mouse
3,4442,397.0,152.0,mouse
3,4457,387.0,148.0,mouse
3,4475,381.0,145.0,mouse
3,4483,374.0,142.0,mouse
3,4491,368.0,138.0,mouse
3,4500,355.0,130.0,mouse
3,4508,349.0,124.0,mouse
3,4516,342.0,120.0,mouse
3,4525,336.0,115.0,mouse
3,4549,329.0,109.0,mouse
3,4558,325.0,105.0,mouse
3,4567,322.0,102.0,mouse
3,4575,319.0,100.0,mouse
3,4590,317.0,98.0,mouse
3,4608,316.0,97.0,mouse
4,4883,318.0,108.0,mouse
4,4908,335.0,133.0,mouse
4,4916,347.0,150.0,mouse
4,4925,361.0,166.0,mouse
4,4932,375.0,184.0,mouse
4,4950,425.0,235.0,mouse
4,4958,502.0,304.0,mouse
4,4975,547.0,341.0,mouse
4,4992,611.0,385.0,mouse
4,4999,649.0,409.0,mouse
4,5008,680.0,427.0,mouse
4,5016,694.0,433.0,mouse
4,5024,736.0,450.0,mouse
4,5041,752.0,455.0,mouse
4,5050,763.0,458.0,mouse
4,5066,796.0,460.0,mouse
4,5083,806.0,460.0,mouse
4,5091,818.0,460.0,mouse
4,5117,853.0,456.0,mouse
4,5141,861.0,455.0,mouse
4,5149,872.0,453.0,mouse
4,5158,877.0,451.0,mouse
4,5166,883.0,451.0,mouse
4,5182,889.0,449.0,mouse
4,5191,891.0,448.0,mouse
4,5200,893.0,446.0,mouse
4,5208,896.0,443.0,mouse
4,5224,899.0,439.0,mouse
4,5233,902.0,436.0,mouse
4,5241,905.0,434.0,mouse
4,5250,907.0,431.0,mouse
4,5266,911.0,426.0,mouse
4,5275,913.0,424.0,mouse
4,5283,915.0,422.0,mouse
4,5291,915.0,420.0,mouse
4,5308,917.0,416.0,mouse
4,5316,917.0,414.0,mouse
4,5325,917.0,413.0,mouse
4,5332,917.0,411.0,mouse
4,5358,917.0,409.0,mouse
4,5367,917.0,407.0,mouse
4,5375,917.0,406.0,mouse
4,5383,916.0,406.0,mouse
4,5399,916.0,405.0,mouse
4,5416,915.0,405.0,mouse
4,5483,914.0,405.0,mouse
4,5508,911.0,405.0,mouse
4,5516,909.0,405.0,mouse
4,5525,907.0,405.0,mouse
4,5533,904.0,405.0,mouse
4,5549,901.0,404.0,mouse
4,5567,899.0,403.0,mouse
4,5574,898.0,403.0,mouse
5,5908,895.0,406.0,mouse
5,5925,889.0,412.0,mouse
5,5950,882.0,417.0,mouse
5,5958,880.0,417.0,mouse
5,5966,871.0,422.0,mouse
5,5999,861.0,425.0,mouse
5,6008,860.0,426.0,mouse
5,6024,858.0,426.0,mouse
5,6033,857.0,426.0,mouse
5,6042,855.0,424.0,mouse
5,6058,853.0,422.0,mouse
5,6075,850.0,418.0,mouse
5,6083,848.0,417.0,mouse
5,6092,845.0,416.0,mouse
5,6100,844.0,415.0,mouse
5,6116,841.0,414.0,mouse
5,6125,839.0,414.0,mouse
