Target_ID,Timestamp_ms,X_Pos,Y_Pos,Device
1,683,835.0,118.0,mouse
1,792,834.0,117.0,mouse
1,800,832.0,117.0,mouse
1,809,814.0,118.0,mouse
1,825,794.0,120.0,mouse
1,834,772.0,124.0,mouse
1,842,735.0,136.0,mouse
1,850,709.0,148.0,mouse
1,866,677.0,172.0,mouse
1,876,648.0,199.0,mouse
1,884,631.0,215.0,mouse
1,892,584.0,268.0,mouse
1,909,569.0,291.0,mouse
1,917,563.0,303.0,mouse
1,925,559.0,310.0,mouse
1,934,553.0,324.0,mouse
1,942,551.0,330.0,mouse
1,950,550.0,331.0,mouse
1,1084,551.0,331.0,mouse
1,1092,552.0,331.0,mouse
1,1109,553.0,331.0,mouse
1,1116,554.0,331.0,mouse
1,1125,555.0,331.0,mouse
1,1133,557.0,332.0,mouse
1,1142,559.0,332.0,mouse
1,1150,568.0,334.0,mouse
1,1159,570.0,335.0,mouse
1,1167,574.0,335.0,mouse
1,1175,578.0,335.0,mouse
1,1183,583.0,336.0,mouse
1,1192,584.0,336.0,mouse
1,1200,585.0,335.0,mouse
1,1217,586.0,335.0,mouse
1,1225,589.0,333.0,mouse
1,1234,591.0,331.0,mouse
1,1242,592.0,330.0,mouse
1,1250,592.0,329.0,mouse
1,1259,593.0,327.0,mouse
1,1267,594.0,324.0,mouse
1,1275,595.0,322.0,mouse
1,1284,596.0,317.0,mouse
1,1292,597.0,310.0,mouse
1,1300,598.0,296.0,mouse
1,1317,596.0,288.0,mouse
1,1334,594.0,283.0,mouse
1,1342,593.0,279.0,mouse
1,1350,593.0,278.0,mouse
1,1359,592.0,277.0,mouse
1,1375,592.0,276.0,mouse
1,1459,592.0,277.0,mouse
1,1484,592.0,278.0,mouse
1,1492,592.0,279.0,mouse
1,1500,592.0,280.0,mouse
1,1525,592.0,281.0,mouse
1,1592,592.0,280.0,mouse
1,1600,592.0,279.0,mouse
1,1609,592.0,277.0,mouse
1,1617,592.0,274.0,mouse
1,1625,592.0,270.0,mouse
1,1634,592.0,267.0,mouse
1,1642,591.0,266.0,mouse
1,1649,591.0,261.0,mouse
1,1667,590.0,258.0,mouse
1,1675,589.0,256.0,mouse
1,1684,589.0,255.0,mouse
1,1692,588.0,254.0,mouse
1,1842,588.0,253.0,mouse
1,1850,588.0,251.0,mouse
1,1859,588.0,248.0,mouse
1,1867,588.0,245.0,mouse
1,1875,588.0,244.0,mouse
1,1884,588.0,243.0,mouse
1,1892,588.0,241.0,mouse
1,1900,588.0,233.0,mouse
1,1916,588.0,226.0,mouse
1,1926,588.0,220.0,mouse
1,1934,588.0,209.0,mouse
1,1942,588.0,207.0,mouse
1,1950,588.0,202.0,mouse
1,1959,589.0,196.0,mouse
1,1967,590.0,185.0,mouse
1,1975,591.0,180.0,mouse
1,1983,591.0,178.0,mouse
1,1992,592.0,174.0,mouse
1,2001,592.0,171.0,mouse
1,2009,594.0,165.0,mouse
1,2017,595.0,161.0,mouse
1,2025,597.0,157.0,mouse
1,2034,599.0,154.0,mouse
1,2050,601.0,148.0,mouse
1,2059,602.0,146.0,mouse
1,2067,603.0,145.0,mouse
1,2075,604.0,142.0,mouse
1,2084,605.0,140.0,mouse
1,2092,608.0,134.0,mouse
1,2100,609.0,131.0,mouse
1,2108,610.0,130.0,mouse
1,2125,612.0,126.0,mouse
1,2142,613.0,122.0,mouse
