Target_ID,Timestamp_ms,X_Pos,Y_Pos
1,386,543.0,129.0
1,410,543.0,129.0
1,411,543.0,129.0
1,418,543.0,129.0
1,418,543.0,129.0
1,419,543.0,129.0
1,419,543.0,129.0
1,419,543.0,129.0
1,419,543.0,129.0
1,420,543.0,129.0
1,420,543.0,129.0
1,420,543.0,129.0
1,420,543.0,129.0
1,420,543.0,129.0
1,420,543.0,129.0
1,421,543.0,129.0
1,421,543.0,129.0
1,421,543.0,129.0
1,421,543.0,129.0
1,421,543.0,129.0
1,421,543.0,129.0
1,422,543.0,129.0
1,422,543.0,129.0
1,423,543.0,129.0
1,423,543.0,129.0
1,423,543.0,129.0
1,423,543.0,129.0
1,424,543.0,129.0
1,424,543.0,129.0
1,424,543.0,129.0
1,424,543.0,129.0
1,425,543.0,129.0
1,425,543.0,129.0
1,425,543.0,129.0
1,425,543.0,129.0
1,425,543.0,129.0
1,425,543.0,129.0
1,426,543.0,129.0
1,426,543.0,129.0
1,426,543.0,129.0
1,426,543.0,129.0
1,433,543.0,129.0
1,441,537.0,132.0
1,449,537.0,132.0
1,457,517.0,151.0
1,465,505.0,162.0
1,474,479.0,191.0
1,483,479.0,191.0
1,491,465.0,205.0
1,498,449.0,222.0
1,507,406.0,262.0
1,515,378.0,283.0
1,524,378.0,283.0
1,533,353.0,302.0
1,541,342.0,308.0
1,549,306.0,326.0
1,557,300.0,328.0
1,566,300.0,328.0
1,573,292.0,331.0
1,583,285.0,331.0
1,590,279.0,332.0
1,599,279.0,332.0
1,608,273.0,332.0
1,616,273.0,330.0
1,623,273.0,330.0
1,633,273.0,327.0
1,641,273.0,327.0
1,649,273.0,327.0
1,657,273.0,327.0
1,666,273.0,327.0
1,674,273.0,327.0
1,683,273.0,327.0
1,691,273.0,327.0
1,699,273.0,327.0
1,707,273.0,327.0
1,716,273.0,327.0
1,724,273.0,327.0
1,733,273.0,327.0
1,740,273.0,327.0
1,749,273.0,327.0
1,758,273.0,327.0
1,766,273.0,327.0
1,774,273.0,327.0
1,783,273.0,327.0
1,790,273.0,327.0
1,799,273.0,327.0
1,808,273.0,327.0
1,816,273.0,327.0
1,824,273.0,324.0
1,833,273.0,320.0
1,841,275.0,317.0
1,850,278.0,314.0
1,858,281.0,312.0
1,866,284.0,310.0
1,875,293.0,304.0
1,882,299.0,301.0
1,891,299.0,301.0
1,900,306.0,297.0
1,908,311.0,295.0
1,915,311.0,295.0
1,925,318.0,292.0
1,932,320.0,291.0
1,940,322.0,291.0
1,949,324.0,289.0
1,958,324.0,289.0
1,966,325.0,289.0
1,975,325.0,289.0
1,983,326.0,289.0
1,992,326.0,289.0
1,999,327.0,289.0
1,1008,327.0,289.0
1,1015,327.0,289.0
1,1024,327.0,289.0
1,1033,327.0,289.0
1,1041,327.0,289.0
2,1050,327.0,289.0
2,1058,327.0,289.0
2,1066,327.0,289.0
2,1074,327.0,289.0
2,1083,327.0,289.0
2,1091,327.0,289.0
2,1099,327.0,289.0
2,1107,327.0,289.0
2,1116,327.0,289.0
2,1124,327.0,289.0
2,1132,327.0,289.0
2,1141,327.0,289.0
2,1149,327.0,289.0
2,1158,327.0,289.0
2,1166,327.0,289.0
2,1173,327.0,289.0
2,1182,327.0,289.0
2,1191,327.0,289.0
2,1199,327.0,289.0
2,1207,327.0,289.0
2,1217,327.0,289.0
2,1224,327.0,289.0
2,1233,327.0,289.0
2,1241,327.0,289.0
2,1249,327.0,289.0
2,1258,327.0,289.0
2,1265,327.0,289.0
2,1275,327.0,289.0
2,1282,327.0,289.0
2,1291,327.0,289.0
2,1300,327.0,289.0
2,1308,327.0,289.0
2,1316,327.0,289.0
2,1324,327.0,289.0
2,1333,325.0,290.0
2,1341,319.0,296.0
2,1349,319.0,296.0
2,1357,319.0,296.0
2,1366,306.0,302.0
2,1375,276.0,306.0
2,1383,263.0,306.0
2,1391,263.0,306.0
2,1399,263.0,306.0
2,1408,236.0,306.0
2,1416,221.0,306.0
2,1424,192.0,303.0
2,1432,192.0,303.0
2,1441,187.0,302.0
2,1450,179.0,301.0
2,1457,169.0,301.0
2,1465,166.0,300.0
2,1474,166.0,300.0
2,1483,164.0,300.0
2,1491,163.0,300.0
2,1500,163.0,300.0
2,1508,163.0,300.0
2,1516,163.0,300.0
2,1525,163.0,300.0
2,1533,163.0,300.0
2,1540,163.0,300.0
2,1549,163.0,300.0
2,1558,163.0,300.0
2,1566,163.0,300.0
2,1574,163.0,300.0
2,1582,163.0,300.0
2,1590,163.0,300.0
2,1599,163.0,298.0
2,1608,163.0,298.0
2,1616,162.0,297.0
2,1624,162.0,297.0
2,1632,162.0,297.0
2,1640,160.0,296.0
2,1650,158.0,295.0
2,1658,155.0,294.0
2,1666,153.0,292.0
2,1674,153.0,292.0
2,1682,145.0,288.0
2,1690,145.0,288.0
2,1699,142.0,287.0
2,1708,140.0,285.0
2,1716,137.0,284.0
2,1725,135.0,282.0
2,1733,135.0,282.0
2,1741,134.0,281.0
2,1750,134.0,281.0
2,1758,131.0,279.0
2,1766,131.0,279.0
2,1774,131.0,279.0
3,1784,131.0,279.0
3,1791,130.0,278.0
3,1799,130.0,278.0
3,1808,130.0,278.0
3,1816,130.0,278.0
3,1825,130.0,278.0
3,1832,130.0,278.0
3,1841,130.0,278.0
3,1850,130.0,278.0
3,1858,130.0,278.0
3,1865,130.0,278.0
